GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.ams,AmsApplication,5,3,0,0,2,1,1,1,1,1
,com.ams.dto,ServiceRequestDto,9,0,0,0,1,0,1,0,1,0
,com.ams.dto,CategoryDetailDto,0,18,0,0,0,1,0,1,0,1
,com.ams.dto,AssetRespDto,0,36,0,0,0,1,0,1,0,1
,com.ams.dto,AssetDto,0,24,0,0,0,1,0,1,0,1
,com.ams.dto,AuditRespDto,0,30,0,0,0,1,0,1,0,1
,com.ams.dto,AdminDashboardDto,30,0,0,0,1,0,1,0,1,0
,com.ams.dto,AssetRequestDto,6,0,0,0,1,0,1,0,1,0
,com.ams.dto,CategoryWithCountDto,0,15,0,0,0,1,0,1,0,1
,com.ams.dto,CategoryDto,0,9,0,0,0,1,0,1,0,1
,com.ams.dto,TokenDto,9,0,0,0,1,0,1,0,1,0
,com.ams.dto,LoginRequestDto,9,0,0,0,1,0,1,0,1,0
,com.ams.dto,UserDto,12,0,0,0,1,0,1,0,1,0
,com.ams.dto,UserRespDto,15,0,0,0,1,0,1,0,1,0
,com.ams.dto,ChangePasswordDto,9,0,0,0,1,0,1,0,1,0
,com.ams.dto,EmployeeDashboardDto,15,0,0,0,1,0,1,0,1,0
,com.ams.dto,AllocationRespDto,0,30,0,0,0,1,0,1,0,1
,com.ams.dto,ServiceRequestRespDto,33,0,0,0,1,0,1,0,1,0
,com.ams.dto,AssetRequestRespDto,27,0,0,0,1,0,1,0,1,0
,com.ams.dto,LoginResponseDto,12,0,0,0,1,0,1,0,1,0
,com.ams.model,AssetRequest,0,3,0,0,0,1,0,1,0,1
,com.ams.model,ServiceRequest,0,3,0,0,0,1,0,1,0,1
,com.ams.model,AssetCategory,0,3,0,0,0,1,0,1,0,1
,com.ams.model,Asset,0,3,0,0,0,1,0,1,0,1
,com.ams.model,AssetAllocation,0,3,0,0,0,1,0,1,0,1
,com.ams.model,AssetAudit,0,6,0,0,0,2,0,1,0,1
,com.ams.model,User,10,3,0,0,2,1,1,1,1,1
,com.ams.controller,AssetRequestController,28,0,0,0,5,0,5,0,5,0
,com.ams.controller,AssetController,66,0,0,0,14,0,7,0,7,0
,com.ams.controller,ServiceRequestController,24,0,0,0,4,0,4,0,4,0
,com.ams.controller,AssetAuditController,29,0,0,0,5,0,5,0,5,0
,com.ams.controller,UserController,22,0,0,0,5,0,4,0,4,0
,com.ams.controller,AuthController,19,0,0,0,4,0,3,0,3,0
,com.ams.controller,AssetCategoryController,20,0,0,0,5,0,4,0,4,0
,com.ams.controller,DashboardController,10,0,0,0,2,0,2,0,2,0
,com.ams.controller,AssetAllocationController,15,0,0,0,3,0,3,0,3,0
,com.ams.controller,AssetCategoryControllerV2,0,73,0,0,0,19,0,5,0,5
,com.ams.enums,ServiceStatus,0,21,0,0,0,4,0,1,0,1
,com.ams.enums,AssetStatus,0,21,0,0,0,4,0,1,0,1
,com.ams.enums,Role,0,15,0,0,0,3,0,1,0,1
,com.ams.enums,AuditStatus,0,21,0,0,0,4,0,1,0,1
,com.ams.enums,RequestStatus,0,21,0,0,0,4,0,1,0,1
,com.ams.mapper,ServiceRequestMapper,45,3,0,0,16,1,2,1,2,1
,com.ams.mapper,AssetRequestMapper,37,3,0,0,13,1,2,1,2,1
,com.ams.mapper,AssetMapper,0,65,0,0,0,22,0,3,0,3
,com.ams.mapper,UserMapper,30,3,0,0,10,1,2,1,2,1
,com.ams.mapper,AssetAllocationMapper,0,30,0,0,0,11,0,2,0,2
,com.ams.mapper,AuditMapper,0,30,0,0,0,11,0,2,0,2
,com.ams.mapper,AssetCategoryMapper,0,17,0,0,0,5,0,2,0,2
,com.ams.utility,JwtUtility,81,9,4,0,22,2,10,1,8,1
,com.ams.utility,FileUtility,0,33,0,4,0,8,0,3,0,1
,com.ams.exception,InvalidFilePathException,0,4,0,0,0,2,0,1,0,1
,com.ams.exception,FileNotFoundException,0,4,0,0,0,2,0,1,0,1
,com.ams.exception,InvalidTokenException,0,4,0,0,0,2,0,1,0,1
,com.ams.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
,com.ams.exception,FileInvalidExtensionException,0,4,0,0,0,2,0,1,0,1
,com.ams.service,AssetAuditService,0,139,0,0,0,31,0,9,0,9
,com.ams.service,AuthService,49,0,0,0,12,0,3,0,3,0
,com.ams.service,AssetRequestService,132,0,0,0,29,0,10,0,10,0
,com.ams.service,DashboardService,85,0,0,0,15,0,2,0,2,0
,com.ams.service,AssetCategoryService,0,57,0,0,0,12,0,6,0,6
,com.ams.service,ServiceRequestService,116,0,2,0,27,0,10,0,9,0
,com.ams.service,UserService,146,4,0,0,29,1,13,1,13,1
,com.ams.service,AssetService,5,215,1,1,1,49,1,13,0,13
,com.ams.service,AssetAllocationService,0,91,0,0,0,23,0,6,0,6
,com.ams.config,GlobalExceptionHandler,78,4,4,0,21,1,5,1,3,1
,com.ams.config,JwtFilter,72,0,10,0,20,0,6,0,1,0
,com.ams.config,SecurityConfig,0,418,0,0,0,47,0,4,0,4
